"id";"name";"host_id";"host_name";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"last_review";"reviews_per_month";"calculated_host_listings_count";"availability_365";"number_of_reviews_ltm"
"36038044";"Homelike apartment in the heart of Recoleta";2447940;"Loli";"Recoleta";-34.59192;-58.39941;"Entire home/apt";63013.0;2;3;"2019-09-25";0.04;1;363;0
"36053229";"Suite en Ex Hotel Aspen";11157456;"Lucila";"Palermo";-34.58293;-58.42374;"Entire home/apt";60766.0;2;25;"2024-12-10";0.37;4;364;4
"36069969";"Luminoso 3 ambientes - PISO 17 - Recoleta - 4 pers";10939619;"Matias";"Recoleta";-34.59397;-58.40372;"Entire home/apt";47260.0;3;29;"2024-09-17";0.44;4;178;4
"36071964";"Urban Glow Studio in Recoleta, Sta. Fe Ave";62313841;"Guillermo";"Recoleta";-34.59545;-58.40154;"Entire home/apt";27190.0;3;78;"2025-01-18";1.16;2;224;14
"36096294";"Hermoso departamento, la ubicaciÃ³n ideal en BA!";22385346;"Celeste";"Retiro";-34.59558;-58.37252;"Entire home/apt";36758.0;3;97;"2025-01-14";1.43;11;165;17
"36096753";"Muy luminoso e increÃ­ble vista sobre Buenos Aires!";260543032;"Luis";"San Telmo";-34.61952;-58.36899;"Entire home/apt";42714.0;3;2;"2022-10-24";0.03;2;317;0
"36104782";"IncreÃ­ble Loft con Jardin&Grill en Palermo Queens";6561182;"Sebi";"Villa Crespo";-34.6011848449707;-58.4433822631836;"Entire home/apt";46210.0;3;67;"2025-01-05";1.03;1;232;6
"36107161";"Luminoso Loft con patio";209050453;"Tobias";"Villa Crespo";-34.590751263125355;-58.439282013857806;"Entire home/apt";25205.0;1;35;"2025-01-17";0.55;1;13;27
"36112972";"Moderno departamento en el Corazon de Recoleta";261639964;"Viviana";"Recoleta";-34.59112;-58.39358;"Entire home/apt";77264.0;2;45;"2025-01-16";0.66;1;97;6
"36144773";"Un Espacio En Caballito";271861110;"Mariano Jorge";"Caballito";-34.62014;-58.45112;"Entire home/apt";26255.0;3;37;"2024-01-20";0.55;3;168;0
"36146527";"Recoleta Uptown - Comfortable up to 4 guest";271872733;"Alicia";"Recoleta";-34.59191210622724;-58.39365948198729;"Entire home/apt";53257.0;2;24;"2024-10-01";1.01;1;140;9
"36169713";"Luminoso departamento en Ãºltimo piso en Saavedra";4676631;"Agos";"Saavedra";-34.55569;-58.49126;"Entire home/apt";28356.0;2;70;"2024-12-02";1.56;2;320;8
